GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_030E
1400000US36005027700,"Census Tract 277, Bronx County, New York",4503,406,701
1400000US36005027900,"Census Tract 279, Bronx County, New York",7884,342,1271
1400000US36005028100,"Census Tract 281, Bronx County, New York",3799,182,1017
1400000US36005028300,"Census Tract 283, Bronx County, New York",2086,81,203
1400000US36005028400,"Census Tract 284, Bronx County, New York",527,0,284
1400000US36005028500,"Census Tract 285, Bronx County, New York",3538,228,432
1400000US36005028600,"Census Tract 286, Bronx County, New York",949,73,307
1400000US36005028700,"Census Tract 287, Bronx County, New York",3246,182,397
1400000US36005028800,"Census Tract 288, Bronx County, New York",3251,291,520
1400000US36005028900,"Census Tract 289, Bronx County, New York",4609,251,791
1400000US36005029301,"Census Tract 293.01, Bronx County, New York",1772,83,813
1400000US36005029302,"Census Tract 293.02, Bronx County, New York",5546,414,1576
1400000US36005029500,"Census Tract 295, Bronx County, New York",4401,191,884
1400000US36005029600,"Census Tract 296, Bronx County, New York",1807,91,269
1400000US36005029700,"Census Tract 297, Bronx County, New York",3946,199,1269
1400000US36005030000,"Census Tract 300, Bronx County, New York",6407,273,988
1400000US36005030100,"Census Tract 301, Bronx County, New York",1463,70,594
1400000US36005030201,"Census Tract 302.01, Bronx County, New York",3813,211,745
1400000US36005030202,"Census Tract 302.02, Bronx County, New York",5128,327,1304
1400000US36005030701,"Census Tract 307.01, Bronx County, New York",5826,683,1554
1400000US36005030900,"Census Tract 309, Bronx County, New York",4392,190,1985
1400000US36005031000,"Census Tract 310, Bronx County, New York",4552,89,1668
1400000US36005031200,"Census Tract 312, Bronx County, New York",1531,66,269
1400000US36005031400,"Census Tract 314, Bronx County, New York",2085,106,547
1400000US36005031600,"Census Tract 316, Bronx County, New York",1978,91,432
1400000US36005031800,"Census Tract 318, Bronx County, New York",2215,107,563
1400000US36005031900,"Census Tract 319, Bronx County, New York",141,0,17
1400000US36005032300,"Census Tract 323, Bronx County, New York",4429,179,1732
1400000US36005032400,"Census Tract 324, Bronx County, New York",3286,118,431
1400000US36005032600,"Census Tract 326, Bronx County, New York",3695,211,623
1400000US36005032800,"Census Tract 328, Bronx County, New York",3989,395,550
1400000US36005033000,"Census Tract 330, Bronx County, New York",5456,382,659
1400000US36005033201,"Census Tract 332.01, Bronx County, New York",5303,426,822
1400000US36005033202,"Census Tract 332.02, Bronx County, New York",3821,131,1045
1400000US36005033400,"Census Tract 334, Bronx County, New York",13,0,4
1400000US36005033500,"Census Tract 335, Bronx County, New York",2042,139,380
1400000US36005033601,"Census Tract 336.01, Bronx County, New York",5121,643,474
1400000US36005033602,"Census Tract 336.02, Bronx County, New York",1678,195,189
1400000US36005033700,"Census Tract 337, Bronx County, New York",2632,153,763
1400000US36005033801,"Census Tract 338.01, Bronx County, New York",2261,208,225
1400000US36005033802,"Census Tract 338.02, Bronx County, New York",1687,163,43
1400000US36005034000,"Census Tract 340, Bronx County, New York",5683,560,572
1400000US36005034200,"Census Tract 342, Bronx County, New York",1698,180,277
1400000US36005034300,"Census Tract 343, Bronx County, New York",1660,221,230
1400000US36005034400,"Census Tract 344, Bronx County, New York",2202,284,269
1400000US36005034500,"Census Tract 345, Bronx County, New York",3278,104,772
1400000US36005034800,"Census Tract 348, Bronx County, New York",5914,364,841
1400000US36005035000,"Census Tract 350, Bronx County, New York",2127,177,193
1400000US36005035100,"Census Tract 351, Bronx County, New York",3719,253,533
1400000US36005035600,"Census Tract 356, Bronx County, New York",2171,145,286
1400000US36005035800,"Census Tract 358, Bronx County, New York",8591,349,1533
1400000US36005035900,"Census Tract 359, Bronx County, New York",2107,79,279
1400000US36005036000,"Census Tract 360, Bronx County, New York",3118,112,868
1400000US36005036100,"Census Tract 361, Bronx County, New York",5827,468,960
1400000US36005036300,"Census Tract 363, Bronx County, New York",7021,653,701
