GEO_ID,NAME,S1810_C01_048E,S1810_C01_049E,S1810_C01_052E
Geography,Geographic Area Name,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population under 18 years,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over
1400000US36005043503,"Census Tract 435.03, Bronx County, New York",0,0,0
1400000US36005043600,"Census Tract 436, Bronx County, New York",327,1164,290
1400000US36005044200,"Census Tract 442, Bronx County, New York",682,2639,373
1400000US36005044400,"Census Tract 444, Bronx County, New York",502,2887,917
1400000US36005044800,"Census Tract 448, Bronx County, New York",304,1348,343
1400000US36005044901,"Census Tract 449.01, Bronx County, New York",185,1058,444
1400000US36005044902,"Census Tract 449.02, Bronx County, New York",159,1413,299
1400000US36005045101,"Census Tract 451.01, Bronx County, New York",76,1047,238
1400000US36005045102,"Census Tract 451.02, Bronx County, New York",202,1243,363
1400000US36005045600,"Census Tract 456, Bronx County, New York",518,2317,418
1400000US36005045800,"Census Tract 458, Bronx County, New York",1379,3310,551
1400000US36005046000,"Census Tract 460, Bronx County, New York",465,1718,433
1400000US36005046203,"Census Tract 462.03, Bronx County, New York",1144,2900,2529
1400000US36005046204,"Census Tract 462.04, Bronx County, New York",969,4050,1275
1400000US36005046205,"Census Tract 462.05, Bronx County, New York",63,1826,1009
1400000US36005046206,"Census Tract 462.06, Bronx County, New York",455,2220,1462
1400000US36005046207,"Census Tract 462.07, Bronx County, New York",1062,3669,1307
1400000US36005046208,"Census Tract 462.08, Bronx County, New York",876,3256,397
1400000US36005046209,"Census Tract 462.09, Bronx County, New York",983,2789,254
1400000US36005048401,"Census Tract 484.01, Bronx County, New York",583,2818,357
1400000US36005048402,"Census Tract 484.02, Bronx County, New York",0,0,0
1400000US36005050400,"Census Tract 504, Bronx County, New York",0,0,0
1400000US36005051601,"Census Tract 516.01, Bronx County, New York",645,2706,891
1400000US36005051602,"Census Tract 516.02, Bronx County, New York",0,0,0
1400000US36047000100,"Census Tract 1, Kings County, New York",530,2827,943
1400000US36047000200,"Census Tract 2, Kings County, New York",108,730,138
1400000US36047000301,"Census Tract 3.01, Kings County, New York",327,2295,738
1400000US36047000501,"Census Tract 5.01, Kings County, New York",235,3157,879
1400000US36047000502,"Census Tract 5.02, Kings County, New York",201,1808,484
1400000US36047000700,"Census Tract 7, Kings County, New York",669,2546,334
1400000US36047000900,"Census Tract 9, Kings County, New York",276,3652,388
1400000US36047001100,"Census Tract 11, Kings County, New York",42,1324,15
1400000US36047001300,"Census Tract 13, Kings County, New York",115,1254,479
1400000US36047001501,"Census Tract 15.01, Kings County, New York",598,3726,272
