system_code,location_code,location_name,Managed_by_name,location_type_description,Location_Category_Description,Status_descriptions,primary_address_line_1,lon,lat
13K093,K093,P.S. 093 William H. Prescott,DOE,General Academic,Elementary,Open,31 NEW YORK AVENUE,-73.946381,40.679079
15K094,K094,P.S. 094 The Henry Longfellow,DOE,General Academic,Elementary,Open,5010 6 AVENUE,-74.008795,40.64373
21K095,K095,P.S. 095 The Gravesend,DOE,General Academic,K-8,Open,345 VAN SICKLEN STREET,-73.974664,40.595996
21K096,K096,I.S. 096 Seth Low,DOE,General Academic,Junior High-Intermediate-Middle,Open,99 AVENUE P,-73.984985,40.608135
21K097,K097,P.S. 97 The Highlawn,DOE,General Academic,Elementary,Open,1855 STILLWELL AVENUE,-73.98557,40.601191
21K098,K098,I.S. 98 Bay Academy,DOE,General Academic,Junior High-Intermediate-Middle,Open,1401 EMMONS AVENUE,-73.954047,40.583893
21K099,K099,P.S. 099 Isaac Asimov,DOE,General Academic,K-8,Open,1120 EAST  10 STREET,-73.966031,40.621474
21K100,K100,P.S. 100 The Coney Island School,DOE,General Academic,Elementary,Open,2951 WEST  3 STREET,-73.97083,40.577591
21K101,K101,P.S. 101 The Verrazano,DOE,General Academic,Elementary,Open,2360 BENSON AVENUE,-73.991962,40.597379
20K102,K102,P.S. 102 The Bayview,DOE,General Academic,Elementary,Open,211 72 STREET,-74.028758,40.634318
13K103,K103,Satellite Three,DOE,General Academic,Junior High-Intermediate-Middle,Closed,170 GATES AVENUE,-73.960536,40.684286
20K104,K104,P.S./I.S. 104 The Fort Hamilton School,DOE,General Academic,K-8,Open,9115 5 AVENUE,-74.028492,40.618077
20K105,K105,P.S. 105 The Blythebourne,DOE,General Academic,Elementary,Open,1031 59 STREET,-74.003635,40.63332
32K106,K106,P.S. 106 Edward Everett Hale,DOE,General Academic,Elementary,Open,1328 PUTNAM AVENUE,-73.913378,40.693318
15K107,K107,P.S. 107 John W. Kimball,DOE,General Academic,Elementary,Open,1301 8 AVENUE,-73.981181,40.662945
19K108,K108,P.S. 108 Sal Abbracciamento,DOE,General Academic,Elementary,Open,200 LINWOOD STREET,-73.884348,40.681295
22K109,K109,P.S. 109,DOE,General Academic,K-8,Open,1001 EAST  45 STREET,-73.933099,40.635842
22K109,K109,P.S. 109,DOE,General Academic,K-8,Open,1001 EAST  45 STREET,-73.933099,40.635842
14K110,K110,P.S. 110 The Monitor,DOE,General Academic,Elementary,Open,124 MONITOR STREET,-73.941926,40.723743
20K112,K112,P.S. 112 Lefferts Park,DOE,General Academic,Elementary,Open,7115 15 AVENUE,-74.000565,40.619417
13K113,K113,M.S. 113 Ronald Edmonds Learning Center,DOE,General Academic,Junior High-Intermediate-Middle,Open,300 ADELPHI STREET,-73.971474,40.688769
18K114,K114,P.S. 114 Ryder Elementary,DOE,General Academic,Elementary,Open,1077 REMSEN AVENUE,-73.90788,40.642684
18K115,K115,P.S. 115 Daniel Mucatel School,DOE,General Academic,Elementary,Open,1500 EAST  92 STREET,-73.897896,40.634861
32K116,K116,P.S. 116 Elizabeth L Farrell,DOE,General Academic,Elementary,Open,515 KNICKERBOCKER AVENUE,-73.916563,40.698077
13K117,K117,J.H.S. 117 Francis Scott Key,DOE,General Academic,Junior High-Intermediate-Middle,Closed,300 WILLOUGHBY AVENUE,-73.9588,40.6926
15K118,K118,The Maurice Sendak Community School,DOE,General Academic,Elementary,Open,211 8TH STREET,-73.987602,40.671145
22K119,K119,P.S. 119 Amersfort,DOE,General Academic,Elementary,Open,3829 AVENUE K,-73.938733,40.626038
14K120,K120,P.S. 120 Carlos Tapia,DOE,General Academic,Elementary,Open,18 BEAVER STREET,-73.937888,40.700819
21K121,K121,P.S. 121 Nelson A. Rockefeller,DOE,General Academic,K-8,Open,5301 20 AVENUE,-73.978472,40.622671
17K122,K122,Pathways in Technology Early College High School (,DOE,Career Technical,High school,Open,150 ALBANY AVENUE,-73.939282,40.675905
32K123,K123,P.S. 123 Suydam,DOE,General Academic,Elementary,Open,100 IRVING AVENUE,-73.922388,40.704076
15K124,K124,P.S. 124 Silas B. Dutcher,DOE,General Academic,Elementary,Open,515 4 AVENUE,-73.99062,40.667464
84K125,K125,Success Academy Charter School - Bed-Stuy 2,Charter,General Academic,Elementary,Open,211 THROOP AVENUE,-73.943279,40.697619
14K126,K126,John Ericsson Middle School 126,DOE,General Academic,Junior High-Intermediate-Middle,Open,424 LEONARD STREET,-73.947932,40.719818
20K127,K127,P.S. 127 Mckinley Park,DOE,General Academic,Elementary,Open,7805 7 AVENUE,-74.018429,40.623687
21K128,K128,P.S. 128 Bensonhurst,DOE,General Academic,Elementary,Open,2075 84 STREET,-73.995084,40.60498
84K129,K129,Success Academy Charter School - Cobble Hill,Charter,General Academic,K-8,Open,284 BALTIC STREET,-73.993293,40.685006
15K130,K130,P.S. 130 The Parkside,DOE,General Academic,Elementary,Open,70 OCEAN PARKWAY,-73.976053,40.648924
15K131,K131,P.S. 131 Brooklyn,DOE,General Academic,Elementary,Open,4305 FT HAMILTON PARKWAY,-73.993247,40.640728
14K132,K132,P.S. 132 The Conselyea School,DOE,General Academic,Elementary,Open,320 MANHATTAN AVENUE,-73.945663,40.714772
13K133,K133,P.S. 133 William A. Butler,DOE,General Academic,Elementary,Open,610 BALTIC STREET,-73.980455,40.679916
22K134,K134,P.S. K134,DOE,General Academic,Elementary,Open,4001 18 AVENUE,-73.97318,40.632145
18K135,K135,P.S. 135 Sheldon A. Brookner,DOE,General Academic,Elementary,Open,684 LINDEN BOULEVARD,-73.932949,40.653093
15K136,K136,I.S. 136 Charles O. Dewey,DOE,General Academic,Junior High-Intermediate-Middle,Open,4004 4 AVENUE,-74.007596,40.652127
23K137,K137,P.S./I.S. 137 Rachel Jean Mitchell,DOE,General Academic,Elementary,Open,121 SARATOGA AVENUE,-73.916641,40.682248
17K138,K138,P.S. 138 Brooklyn,DOE,General Academic,K-8,Open,760 PROSPECT PLACE,-73.951559,40.673943
17K138,K138,P.S. 138 Brooklyn,DOE,General Academic,K-8,Open,760 PROSPECT PLACE,-73.951559,40.673943
22K139,K139,P.S. 139 Alexine A. Fenty,DOE,General Academic,Elementary,Open,330 RUGBY ROAD,-73.965862,40.64134
75K140,K140,P.S. K140,DOE,Special Education,K-8,Open,141 MACON STREET,-73.9456,40.68192
75K141,K141,P.S. K141,DOE,Special Education,K-12 all grades,Open,655 PARKSIDE AVENUE,-73.951575,40.656423
15K142,K142,JHS 142,DOE,General Academic,Junior High-Intermediate-Middle,Closed,610 HENRY STREET,-74.0014,40.6801
16K143,K143,M.S. 143 Performing & Fine Arts,DOE,General Academic,Junior High-Intermediate-Middle,Closed,800 GATES AVENUE,-73.932,40.6883
32K145,K145,P.S. 145 Andrew Jackson,DOE,General Academic,Elementary,Open,100 NOLL STREET,-73.932388,40.701107
15K146,K146,"The Brooklyn New School, P.S. 146",DOE,General Academic,Elementary,Open,610 HENRY STREET,-74.002022,40.679462
14K147,K147,P.S. 147 Isaac Remsen,DOE,General Academic,Elementary,Open,325 BUSHWICK AVENUE,-73.93879,40.705005
19K149,K149,P.S. 149 Danny Kaye,DOE,General Academic,Elementary,Open,700 SUTTER AVENUE,-73.89276,40.669361
23K150,K150,P.S. 150 Christopher,DOE,General Academic,Elementary,Open,364 SACKMAN STREET,-73.90514,40.668768
32K151,K151,P.S. 151 Lyndon B. Johnson,DOE,General Academic,Elementary,Open,763 KNICKERBOCKER AVENUE,-73.908242,40.693432
22K152,K152,School of Science & Technology,DOE,General Academic,Elementary,Open,725 EAST  23 STREET,-73.954269,40.632619
22K152,K152,School of Science & Technology,DOE,General Academic,Elementary,Open,725 EAST  23 STREET,-73.954269,40.632619
21K153,K153,P.S. 153 Homecrest,DOE,General Academic,Elementary,Open,1970 HOMECREST AVENUE,-73.960027,40.601179
15K154,K154,The Windsor Terrace School,DOE,General Academic,Elementary,Open,1625 11 AVENUE,-73.975967,40.657002
23K155,K155,P.S./ I.S. 155 Nicholas Herkimer,DOE,General Academic,K-8,Open,1355 HERKIMER STREET,-73.908682,40.677634
23K156,K156,P.S. 156 Waverly,DOE,General Academic,Elementary,Open,104 SUTTER AVENUE,-73.91788,40.665553
14K157,K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,DOE,General Academic,K-8,Open,850 KENT AVENUE,-73.959999,40.695397
19K158,K158,P.S. 158 Warwick,DOE,General Academic,Elementary,Open,400 ASHFORD STREET,-73.885214,40.67259
19K159,K159,P.S. 159 Isaac Pitkin,DOE,General Academic,Elementary,Open,2781 PITKIN AVENUE,-73.869705,40.676111
20K160,K160,P.S. 160 William T. Sampson,DOE,General Academic,Elementary,Open,5105 Fort Hamilton Parkway,-73.999045,40.636932
17K161,K161,P.S. 161 The Crown,DOE,General Academic,Elementary,Open,330 CROWN STREET,-73.949243,40.665757
32K162,K162,J.H.S. 162 The Willoughby,DOE,General Academic,Junior High-Intermediate-Middle,Open,1390 WILLOUGHBY AVENUE,-73.919643,40.706816
20K163,K163,P.S. 163 Bath Beach,DOE,General Academic,K-8,Open,109 BAY 14TH STREET,-74.007469,40.606739
20K164,K164,P.S. 164 Caesar Rodney,DOE,General Academic,Elementary,Open,4211 14 AVENUE,-73.985739,40.637101
23K165,K165,P.S. 165 Ida Posner,DOE,General Academic,Elementary,Open,76 LOTT AVENUE,-73.910938,40.657061
19K166,K166,J.H.S. 166 George Gershwin,DOE,General Academic,Junior High-Intermediate-Middle,Closed,800 VAN SICLEN AVE,-73.885704,40.659934
17K167,K167,P.S. 167 The Parkway,DOE,General Academic,Elementary,Closed,1025 EASTERN PARKWAY,-73.934316,40.669557
32K168,K168,The Brooklyn School for Math and Research,DOE,General Academic,High school,Open,400 IRVING AVENUE,-73.911751,40.696457
15K169,K169,P.S. 169 Sunset Park,DOE,General Academic,Elementary,Open,4305 7 AVENUE,-74.0017,40.645825
20K170,K170,Ralph A. Fabrizio School,DOE,General Academic,Elementary,Open,619 72ND STREET,-74.018719,40.630373
20K170,K170,Ralph A. Fabrizio School,DOE,General Academic,Elementary,Open,619 72ND STREET,-74.018719,40.630373
19K171,K171,I.S. 171 Abraham Lincoln,DOE,General Academic,Junior High-Intermediate-Middle,Open,528 RIDGEWOOD AVENUE,-73.869434,40.685852
15K172,K172,P.S. 172 Beacon School of Excellence,DOE,General Academic,Elementary,Open,825 4 AVENUE,-74.000191,40.657682
19K174,K174,P.S. 174 Dumont,DOE,General Academic,K-8,Closed,574 DUMONT AVENUE,-73.897604,40.665446
20K176,K176,P.S. 176 Ovington,DOE,General Academic,Elementary,Open,1225 69 STREET,-74.005205,40.624835
21K177,K177,P.S. 177 The Marlboro,DOE,General Academic,Elementary,Open,346 AVENUE P,-73.974425,40.608169
23K178,K178,P.S. 178 Saint Clair Mckelway,DOE,General Academic,K-8,Open,2163 DEAN STREET,-73.915337,40.67538
20K179,K179,P.S. 179 Kensington,DOE,General Academic,Elementary,Open,202 AVENUE C,-73.97726,40.640127
20K180,K180,The SEEALL Academy,DOE,General Academic,K-8,Open,5601 16 AVENUE,-73.98925,40.626454
17K181,K181,P.S. 181 Brooklyn,DOE,General Academic,K-8,Open,1023 NEW YORK AVENUE,-73.945883,40.648217
84K182,K182,Success Academy Charter School - Williamsburg,Charter,General Academic,Elementary,Open,183 SOUTH  3 STREET,-73.960137,40.711915
23K183,K183,P.S. 183 Daniel Chappie James,DOE,General Academic,K-8,Closed,76 RIVERDALE AVENUE,-73.9139,40.6602
